iter	Logloss
0	0.547451875
1	0.4355894051
2	0.3429256801
3	0.2714211408
4	0.2184697914
5	0.1772874538
6	0.14352775
7	0.11722761
8	0.09740745945
9	0.08156411762
10	0.06928596543
11	0.05991310919
12	0.05177752368
13	0.04404221463
14	0.03943488568
15	0.03393391376
16	0.03053824535
17	0.02743250589
18	0.02516257125
19	0.0232808288
20	0.02133496962
21	0.0192636529
22	0.01790718983
23	0.01662743832
24	0.01560417269
25	0.01485737087
26	0.01443003952
27	0.01389895123
28	0.01354343529
29	0.01244863759
30	0.01218223681
31	0.01193400908
32	0.01115933045
33	0.01097178846
34	0.01075511644
35	0.01060082381
36	0.01035805622
37	0.009887034611
38	0.00977497219
39	0.009588480069
40	0.009414701587
41	0.009204464974
42	0.009087533898
43	0.008986261213
44	0.008176384296
45	0.008068008137
46	0.007985546889
47	0.007885251799
48	0.007766760829
49	0.007713725786
50	0.00730885501
51	0.007196172219
52	0.007125055436
53	0.007057820376
54	0.00696757847
55	0.00679775479
56	0.006674163164
57	0.006622165086
58	0.006562222542
59	0.006495936123
60	0.006210114038
61	0.005728610104
62	0.005659418611
63	0.005588880625
64	0.005537859487
65	0.005483949028
66	0.005433971053
67	0.005364029734
68	0.005112428846
69	0.005058514594
70	0.005016170171
71	0.004852702837
72	0.004808743746
73	0.004741670525
74	0.004646244819
75	0.004605741302
76	0.004499043555
77	0.004451063439
78	0.004339151552
79	0.004296045633
80	0.004266763835
81	0.00422312988
82	0.004195291065
83	0.004143322014
84	0.004098802139
85	0.004016672445
86	0.003971243313
87	0.003925587723
88	0.003882106855
89	0.003853648181
90	0.003813747967
91	0.003756049285
92	0.003613061079
93	0.003559822918
94	0.003436372637
95	0.003380568103
96	0.003364221515
97	0.003338985248
98	0.003300320887
99	0.003287286633
100	0.003255103115
101	0.003228015949
102	0.003198300636
103	0.003180589906
104	0.003165614463
105	0.003138002761
106	0.003110839089
107	0.003076916771
108	0.003022540268
109	0.002957732133
110	0.002931265482
111	0.002931236017
112	0.002931231277
113	0.00290407023
114	0.0028928286
115	0.002868396348
116	0.002788601829
117	0.002775730435
118	0.002755800859
119	0.002739421816
120	0.002706218838
121	0.002683598611
122	0.002662634259
123	0.002622941686
124	0.002590655916
125	0.002574749991
126	0.002553458314
127	0.002553442853
128	0.002487268605
129	0.002473390806
130	0.002451791425
131	0.002432401846
132	0.002389882748
133	0.002389860139
134	0.002380305308
135	0.002356739502
136	0.002338844033
137	0.002324922692
138	0.002313389039
139	0.002294414523
140	0.002287793356
141	0.002287763235
142	0.002245305109
143	0.002233033663
144	0.00215606866
145	0.002145091924
146	0.002122052477
147	0.002122042266
148	0.002109129446
149	0.002092524091
150	0.002078070995
151	0.002029058874
152	0.002015760602
153	0.002015765416
154	0.001990599747
155	0.001972260407
156	0.001957389914
157	0.001957389914
158	0.001945939185
159	0.001902246884
160	0.001892494623
161	0.001892489882
162	0.001867857866
163	0.00186786516
164	0.00186784802
165	0.001867852396
166	0.001846080601
167	0.001831451882
168	0.0018314389
169	0.001831419718
170	0.001786128284
171	0.001786122741
172	0.001767447251
173	0.001738049416
174	0.001703089915
175	0.0016904751
176	0.001673225308
177	0.001673224724
178	0.001673206856
179	0.001640278252
180	0.001622189583
181	0.001622189583
182	0.001585786953
183	0.001585702278
184	0.001560535661
185	0.001560528441
186	0.001551549272
187	0.001551533883
188	0.001523116124
189	0.00152309862
190	0.001523089722
191	0.001523080752
192	0.001500278702
193	0.001500263824
194	0.001500253176
195	0.00150025179
196	0.001476985156
197	0.00146082958
198	0.001432086686
199	0.00141646396
